CONSECUTIVO;ANIO _ MATRICULA;PERIODO_ MATRICULA;CODIGO_INSTITUCION;ID_SEXO;MUNICIPIO_ PRO;CODIGO _ PROGRAMA;PROGRAMA;ANIO_NACIMIENTO;PAIS NACIMIENTO;CIUDAD NACIMIENTO;ANIO_ PRIMER CURSO;PERIODO _PRIMER CURSO
2017;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;12/03/1998 12:00:00 AM;170;5088;2021;1
2018;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;09/29/1999 12:00:00 AM;170;5001;2019;2
2019;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;11/08/2000 12:00:00 AM;170;5656;2020;1
2020;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;08/10/2002 12:00:00 AM;170;5001;2020;1
2021;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;03/13/2003 12:00:00 AM;170;5360;2020;1
2022;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;02/24/2003 12:00:00 AM;170;5088;2020;1
2023;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;01/27/1991 12:00:00 AM;218;0;2020;2
2024;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;11/05/2001 12:00:00 AM;862;0;2020;1
2025;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;12/16/1996 12:00:00 AM;170;19001;2018;1
2026;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;02/16/2004 12:00:00 AM;188;0;2021;1
2027;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;05/28/2001 12:00:00 AM;170;5001;2019;2
2028;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;01/17/2003 12:00:00 AM;170;5001;2020;1
2029;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;07/21/1994 12:00:00 AM;170;5360;2015;2
2030;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;11/07/2000 12:00:00 AM;170;5001;2021;1
2031;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;09/16/2003 12:00:00 AM;170;5674;2021;1
2032;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;02/04/2003 12:00:00 AM;840;0;2021;1
2033;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;01/09/2004 12:00:00 AM;170;5001;2021;1
2034;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;01/13/1986 12:00:00 AM;170;5001;2019;1
2035;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;09/11/2002 12:00:00 AM;170;5093;2021;1
2036;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;12/23/2002 12:00:00 AM;170;5001;2020;1
2037;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;12/20/1988 12:00:00 AM;170;5001;2014;2
2038;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;12/04/2001 12:00:00 AM;170;11001;2020;1
2039;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;02/19/2004 12:00:00 AM;170;5001;2021;1
2040;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;03/31/1994 12:00:00 AM;170;5001;2012;1
2041;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;08/18/2003 12:00:00 AM;170;5001;2021;1
2042;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;07/22/2001 12:00:00 AM;170;5001;2020;1
2043;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;08/13/2003 12:00:00 AM;170;5001;2020;2
2044;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;01/13/1996 12:00:00 AM;170;5001;2021;1
2045;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;09/21/2001 12:00:00 AM;170;5001;2020;1
2046;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;10/13/1999 12:00:00 AM;170;5001;2020;1
2047;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;05/09/2002 12:00:00 AM;170;5001;2020;2
2048;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;06/26/2001 12:00:00 AM;170;5001;2021;1
2049;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;06/28/2001 12:00:00 AM;170;5266;2021;1
2050;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;11/08/2003 12:00:00 AM;170;5310;2021;1
2051;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;06/25/2002 12:00:00 AM;170;5001;2020;2
2052;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;11/19/2001 12:00:00 AM;170;66682;2020;1
2053;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;04/01/2004 12:00:00 AM;170;5001;2021;1
2054;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;08/12/2001 12:00:00 AM;170;5380;2021;1
2055;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;03/20/2001 12:00:00 AM;170;5001;2020;1
2056;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;05/27/1995 12:00:00 AM;170;5360;2016;1
2057;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;12/04/2003 12:00:00 AM;170;5890;2021;1
2058;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;02/11/1994 12:00:00 AM;170;5440;2021;1
2059;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;01/02/2004 12:00:00 AM;170;5001;2021;1
2060;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;08/02/2003 12:00:00 AM;170;5380;2021;1
2061;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;09/24/2003 12:00:00 AM;170;66001;2021;1
2062;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;07/08/2001 12:00:00 AM;170;5088;2020;1
2063;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;10/11/2002 12:00:00 AM;170;5266;2020;1
2064;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;06/12/2002 12:00:00 AM;170;8001;2020;1
2065;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;07/20/2000 12:00:00 AM;170;5088;2019;1
2066;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;02/23/2003 12:00:00 AM;170;5001;2020;2
2067;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;03/10/2003 12:00:00 AM;170;5360;2020;1
2068;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;11/21/2002 12:00:00 AM;170;5001;2021;1
2069;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;12/20/2003 12:00:00 AM;170;5001;2021;1
2070;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;12/18/2002 12:00:00 AM;170;5266;2020;1
2071;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;12/07/2002 12:00:00 AM;170;5001;2020;1
2072;2021;1;3303;1;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;05/05/2000 12:00:00 AM;170;5001;2019;2
2073;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;06/09/2002 12:00:00 AM;170;5001;2021;1
2074;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;09/22/2003 12:00:00 AM;170;5266;2021;1
2075;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;10/06/2001 12:00:00 AM;170;5001;2020;1
2076;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;01/04/2002 12:00:00 AM;170;5001;2020;2
2077;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;08/19/2002 12:00:00 AM;170;5679;2020;1
2078;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;09/30/2003 12:00:00 AM;170;5890;2021;1
2079;2021;1;3303;2;5266;54737;TECNICA PROFESIONAL EN ACTUACION PARA LAS PRACTICAS ESCENICAS TEATRALES;05/19/2003 12:00:00 AM;170;5001;2021;1
